model_name,score,flesch_reading_ease,flesch_kincaid_grade
penprompter-boostrapfewshot-gpt-4o-mini,0.6519403457641602,29.74,18.78
penprompter-boostrapfewshot-gpt-4o,0.629318642616272,31.22,19.08
penprompter-bootsrapfewshotwithrandomsearch-gpt-4o-mini,0.651874554157257,30.51,17.82
penprompter-bootsrapfewshotwithrandomsearch-gpt-4o,0.629080855846405,32.15,19.380000000000003
penprompter-miprov2fewshot-gpt-4o-mini,0.6515320897102356,32.0,17.880000000000003
penprompter-miprov2fewshot-gpt-4o,0.6289470434188843,36.19,17.8
penprompter-boostrapfewshot-meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,0.5656122207641602,90.13000000000001,3.8
penprompter-boostrapfewshot-meta-llama/Llama-3.2-90B-Vision-Instruct-Turbo,0.5796417593955994,70.55,8.4
penprompter-boostrapfewshot-Qwen/Qwen2.5-7B-Instruct-Turbo,0.6269281029701232,41.540000000000006,15.940000000000001
penprompter-boostrapfewshot-Qwen/Qwen2.5-72B-Instruct-Turbo,0.5876885294914246,47.82,14.38
penprompter-boostrapfewshot-mistralai/Mixtral-8x7B-Instruct-v0.1,0.6030832290649414,26.8,19.940000000000005
penprompter-boostrapfewshot-mistralai/Mixtral-8x22B-Instruct-v0.1,0.3836469292640686,54.81999999999999,12.52
penprompter-bootsrapfewshotwithrandomsearch-meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,0.5805903434753418,-36.616,52.81999999999999
penprompter-bootsrapfewshotwithrandomsearch-meta-llama/Llama-3.2-90B-Vision-Instruct-Turbo,0.4602089762687683,54.9,13.4
penprompter-bootsrapfewshotwithrandomsearch-Qwen/Qwen2.5-7B-Instruct-Turbo,0.594159471988678,50.760000000000005,13.680000000000001
penprompter-bootsrapfewshotwithrandomsearch-Qwen/Qwen2.5-72B-Instruct-Turbo,0.6019626021385193,33.660000000000004,17.259999999999998
penprompter-bootsrapfewshotwithrandomsearch-mistralai/Mixtral-8x7B-Instruct-v0.1,0.5971701979637146,45.410000000000004,15.1
penprompter-bootsrapfewshotwithrandomsearch-mistralai/Mixtral-8x22B-Instruct-v0.1,0.3576987862586975,48.4,15.040000000000001
penprompter-miprov2fewshot-meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,0.5760281920433045,64.13000000000001,9.540000000000001
penprompter-miprov2fewshot-meta-llama/Llama-3.2-90B-Vision-Instruct-Turbo,0.4611749291419983,58.7,11.9
penprompter-miprov2fewshot-Qwen/Qwen2.5-7B-Instruct-Turbo,0.6270183086395263,44.239999999999995,14.88
penprompter-miprov2fewshot-Qwen/Qwen2.5-72B-Instruct-Turbo,0.5870506405830384,41.620000000000005,15.879999999999999
penprompter-miprov2fewshot-mistralai/Mixtral-8x22B-Instruct-v0.1,0.6231664776802063,52.40999999999999,13.719999999999999
